SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2025-08-11
AXISBANK, EQ,2025-08-11
BAJFINANCE, EQ,2025-08-11
BHARTIARTL, EQ,2025-08-11
BPCL, EQ,2025-08-11
CIPLA, EQ,2025-08-11
COALINDIA, EQ,2025-08-11
DIVISLAB, EQ,2025-08-11
DRREDDY, EQ,2025-08-11
HCLTECH, EQ,2025-08-11
HDFCBANK, EQ,2025-08-11
HINDALCO, EQ,2025-08-11
ICICIBANK, EQ,2025-08-11
INFY, EQ,2025-08-11
JSWSTEEL, EQ,2025-08-11
KOTAKBANK, EQ,2025-08-11
LT, EQ,2025-08-11
MARUTI, EQ,2025-08-11
NTPC, EQ,2025-08-11
POWERGRID, EQ,2025-08-11
RELIANCE, EQ,2025-08-11
SBIN, EQ,2025-08-11
SUNPHARMA, EQ,2025-08-11
TATAMOTORS, EQ,2025-08-11
TATASTEEL, EQ,2025-08-11
TCS, EQ,2025-08-11
TECHM, EQ,2025-08-11
TITAN, EQ,2025-08-11
ULTRACEMCO, EQ,2025-08-11
WIPRO, EQ,2025-08-11
