SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2023-04-11
AXISBANK, EQ,2023-04-11
BAJFINANCE, EQ,2023-04-11
BHARTIARTL, EQ,2023-04-11
BPCL, EQ,2023-04-11
CIPLA, EQ,2023-04-11
COALINDIA, EQ,2023-04-11
DIVISLAB, EQ,2023-04-11
DRREDDY, EQ,2023-04-11
HCLTECH, EQ,2023-04-11
HDFCBANK, EQ,2023-04-11
HINDALCO, EQ,2023-04-11
ICICIBANK, EQ,2023-04-11
INFY, EQ,2023-04-11
JSWSTEEL, EQ,2023-04-11
KOTAKBANK, EQ,2023-04-11
LT, EQ,2023-04-11
MARUTI, EQ,2023-04-11
NTPC, EQ,2023-04-11
POWERGRID, EQ,2023-04-11
RELIANCE, EQ,2023-04-11
SBIN, EQ,2023-04-11
SUNPHARMA, EQ,2023-04-11
TATAMOTORS, EQ,2023-04-11
TATASTEEL, EQ,2023-04-11
TCS, EQ,2023-04-11
TECHM, EQ,2023-04-11
TITAN, EQ,2023-04-11
ULTRACEMCO, EQ,2023-04-11
WIPRO, EQ,2023-04-11
