SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2025-03-04
AXISBANK, EQ,2025-03-04
BAJFINANCE, EQ,2025-03-04
BHARTIARTL, EQ,2025-03-04
BPCL, EQ,2025-03-04
CIPLA, EQ,2025-03-04
COALINDIA, EQ,2025-03-04
DIVISLAB, EQ,2025-03-04
DRREDDY, EQ,2025-03-04
HCLTECH, EQ,2025-03-04
HDFCBANK, EQ,2025-03-04
HINDALCO, EQ,2025-03-04
ICICIBANK, EQ,2025-03-04
INFY, EQ,2025-03-04
JSWSTEEL, EQ,2025-03-04
KOTAKBANK, EQ,2025-03-04
LT, EQ,2025-03-04
MARUTI, EQ,2025-03-04
NTPC, EQ,2025-03-04
POWERGRID, EQ,2025-03-04
RELIANCE, EQ,2025-03-04
SBIN, EQ,2025-03-04
SUNPHARMA, EQ,2025-03-04
TATAMOTORS, EQ,2025-03-04
TATASTEEL, EQ,2025-03-04
TCS, EQ,2025-03-04
TECHM, EQ,2025-03-04
TITAN, EQ,2025-03-04
ULTRACEMCO, EQ,2025-03-04
WIPRO, EQ,2025-03-04
