SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2025-01-09
AXISBANK, EQ,2025-01-09
BAJFINANCE, EQ,2025-01-09
BHARTIARTL, EQ,2025-01-09
BPCL, EQ,2025-01-09
CIPLA, EQ,2025-01-09
COALINDIA, EQ,2025-01-09
DIVISLAB, EQ,2025-01-09
DRREDDY, EQ,2025-01-09
HCLTECH, EQ,2025-01-09
HDFCBANK, EQ,2025-01-09
HINDALCO, EQ,2025-01-09
ICICIBANK, EQ,2025-01-09
INFY, EQ,2025-01-09
JSWSTEEL, EQ,2025-01-09
KOTAKBANK, EQ,2025-01-09
LT, EQ,2025-01-09
MARUTI, EQ,2025-01-09
NTPC, EQ,2025-01-09
POWERGRID, EQ,2025-01-09
RELIANCE, EQ,2025-01-09
SBIN, EQ,2025-01-09
SUNPHARMA, EQ,2025-01-09
TATAMOTORS, EQ,2025-01-09
TATASTEEL, EQ,2025-01-09
TCS, EQ,2025-01-09
TECHM, EQ,2025-01-09
TITAN, EQ,2025-01-09
ULTRACEMCO, EQ,2025-01-09
WIPRO, EQ,2025-01-09
