SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2021-02-02
AXISBANK, EQ,2021-02-02
BAJFINANCE, EQ,2021-02-02
BHARTIARTL, EQ,2021-02-02
BPCL, EQ,2021-02-02
CIPLA, EQ,2021-02-02
COALINDIA, EQ,2021-02-02
DIVISLAB, EQ,2021-02-02
DRREDDY, EQ,2021-02-02
HCLTECH, EQ,2021-02-02
HDFCBANK, EQ,2021-02-02
HINDALCO, EQ,2021-02-02
ICICIBANK, EQ,2021-02-02
INFY, EQ,2021-02-02
JSWSTEEL, EQ,2021-02-02
KOTAKBANK, EQ,2021-02-02
LT, EQ,2021-02-02
MARUTI, EQ,2021-02-02
NTPC, EQ,2021-02-02
POWERGRID, EQ,2021-02-02
RELIANCE, EQ,2021-02-02
SBIN, EQ,2021-02-02
SUNPHARMA, EQ,2021-02-02
TATAMOTORS, EQ,2021-02-02
TATASTEEL, EQ,2021-02-02
TCS, EQ,2021-02-02
TECHM, EQ,2021-02-02
TITAN, EQ,2021-02-02
ULTRACEMCO, EQ,2021-02-02
WIPRO, EQ,2021-02-02
