SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2022-10-10
AXISBANK, EQ,2022-10-10
BAJFINANCE, EQ,2022-10-10
BHARTIARTL, EQ,2022-10-10
BPCL, EQ,2022-10-10
CIPLA, EQ,2022-10-10
COALINDIA, EQ,2022-10-10
DIVISLAB, EQ,2022-10-10
DRREDDY, EQ,2022-10-10
HCLTECH, EQ,2022-10-10
HDFCBANK, EQ,2022-10-10
HINDALCO, EQ,2022-10-10
ICICIBANK, EQ,2022-10-10
INFY, EQ,2022-10-10
JSWSTEEL, EQ,2022-10-10
KOTAKBANK, EQ,2022-10-10
LT, EQ,2022-10-10
MARUTI, EQ,2022-10-10
NTPC, EQ,2022-10-10
POWERGRID, EQ,2022-10-10
RELIANCE, EQ,2022-10-10
SBIN, EQ,2022-10-10
SUNPHARMA, EQ,2022-10-10
TATAMOTORS, EQ,2022-10-10
TATASTEEL, EQ,2022-10-10
TCS, EQ,2022-10-10
TECHM, EQ,2022-10-10
TITAN, EQ,2022-10-10
ULTRACEMCO, EQ,2022-10-10
WIPRO, EQ,2022-10-10
