SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2022-09-08
AXISBANK, EQ,2022-09-08
BAJFINANCE, EQ,2022-09-08
BHARTIARTL, EQ,2022-09-08
BPCL, EQ,2022-09-08
CIPLA, EQ,2022-09-08
COALINDIA, EQ,2022-09-08
DIVISLAB, EQ,2022-09-08
DRREDDY, EQ,2022-09-08
HCLTECH, EQ,2022-09-08
HDFCBANK, EQ,2022-09-08
HINDALCO, EQ,2022-09-08
ICICIBANK, EQ,2022-09-08
INFY, EQ,2022-09-08
JSWSTEEL, EQ,2022-09-08
KOTAKBANK, EQ,2022-09-08
LT, EQ,2022-09-08
MARUTI, EQ,2022-09-08
NTPC, EQ,2022-09-08
POWERGRID, EQ,2022-09-08
RELIANCE, EQ,2022-09-08
SBIN, EQ,2022-09-08
SUNPHARMA, EQ,2022-09-08
TATAMOTORS, EQ,2022-09-08
TATASTEEL, EQ,2022-09-08
TCS, EQ,2022-09-08
TECHM, EQ,2022-09-08
TITAN, EQ,2022-09-08
ULTRACEMCO, EQ,2022-09-08
WIPRO, EQ,2022-09-08
