SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2024-07-19
AXISBANK, EQ,2024-07-19
BAJFINANCE, EQ,2024-07-19
BHARTIARTL, EQ,2024-07-19
BPCL, EQ,2024-07-19
CIPLA, EQ,2024-07-19
COALINDIA, EQ,2024-07-19
DIVISLAB, EQ,2024-07-19
DRREDDY, EQ,2024-07-19
HCLTECH, EQ,2024-07-19
HDFCBANK, EQ,2024-07-19
HINDALCO, EQ,2024-07-19
ICICIBANK, EQ,2024-07-19
INFY, EQ,2024-07-19
JSWSTEEL, EQ,2024-07-19
KOTAKBANK, EQ,2024-07-19
LT, EQ,2024-07-19
MARUTI, EQ,2024-07-19
NTPC, EQ,2024-07-19
POWERGRID, EQ,2024-07-19
RELIANCE, EQ,2024-07-19
SBIN, EQ,2024-07-19
SUNPHARMA, EQ,2024-07-19
TATAMOTORS, EQ,2024-07-19
TATASTEEL, EQ,2024-07-19
TCS, EQ,2024-07-19
TECHM, EQ,2024-07-19
TITAN, EQ,2024-07-19
ULTRACEMCO, EQ,2024-07-19
WIPRO, EQ,2024-07-19
