SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2023-08-28
AXISBANK, EQ,2023-08-28
BAJFINANCE, EQ,2023-08-28
BHARTIARTL, EQ,2023-08-28
BPCL, EQ,2023-08-28
CIPLA, EQ,2023-08-28
COALINDIA, EQ,2023-08-28
DIVISLAB, EQ,2023-08-28
DRREDDY, EQ,2023-08-28
HCLTECH, EQ,2023-08-28
HDFCBANK, EQ,2023-08-28
HINDALCO, EQ,2023-08-28
ICICIBANK, EQ,2023-08-28
INFY, EQ,2023-08-28
JSWSTEEL, EQ,2023-08-28
KOTAKBANK, EQ,2023-08-28
LT, EQ,2023-08-28
MARUTI, EQ,2023-08-28
NTPC, EQ,2023-08-28
POWERGRID, EQ,2023-08-28
RELIANCE, EQ,2023-08-28
SBIN, EQ,2023-08-28
SUNPHARMA, EQ,2023-08-28
TATAMOTORS, EQ,2023-08-28
TATASTEEL, EQ,2023-08-28
TCS, EQ,2023-08-28
TECHM, EQ,2023-08-28
TITAN, EQ,2023-08-28
ULTRACEMCO, EQ,2023-08-28
WIPRO, EQ,2023-08-28
