SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2021-07-27
AXISBANK, EQ,2021-07-27
BAJFINANCE, EQ,2021-07-27
BHARTIARTL, EQ,2021-07-27
BPCL, EQ,2021-07-27
CIPLA, EQ,2021-07-27
COALINDIA, EQ,2021-07-27
DIVISLAB, EQ,2021-07-27
DRREDDY, EQ,2021-07-27
HCLTECH, EQ,2021-07-27
HDFCBANK, EQ,2021-07-27
HINDALCO, EQ,2021-07-27
ICICIBANK, EQ,2021-07-27
INFY, EQ,2021-07-27
JSWSTEEL, EQ,2021-07-27
KOTAKBANK, EQ,2021-07-27
LT, EQ,2021-07-27
MARUTI, EQ,2021-07-27
NTPC, EQ,2021-07-27
POWERGRID, EQ,2021-07-27
RELIANCE, EQ,2021-07-27
SBIN, EQ,2021-07-27
SUNPHARMA, EQ,2021-07-27
TATAMOTORS, EQ,2021-07-27
TATASTEEL, EQ,2021-07-27
TCS, EQ,2021-07-27
TECHM, EQ,2021-07-27
TITAN, EQ,2021-07-27
ULTRACEMCO, EQ,2021-07-27
WIPRO, EQ,2021-07-27
