SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2025-02-05
AXISBANK, EQ,2025-02-05
BAJFINANCE, EQ,2025-02-05
BHARTIARTL, EQ,2025-02-05
BPCL, EQ,2025-02-05
CIPLA, EQ,2025-02-05
COALINDIA, EQ,2025-02-05
DIVISLAB, EQ,2025-02-05
DRREDDY, EQ,2025-02-05
HCLTECH, EQ,2025-02-05
HDFCBANK, EQ,2025-02-05
HINDALCO, EQ,2025-02-05
ICICIBANK, EQ,2025-02-05
INFY, EQ,2025-02-05
JSWSTEEL, EQ,2025-02-05
KOTAKBANK, EQ,2025-02-05
LT, EQ,2025-02-05
MARUTI, EQ,2025-02-05
NTPC, EQ,2025-02-05
POWERGRID, EQ,2025-02-05
RELIANCE, EQ,2025-02-05
SBIN, EQ,2025-02-05
SUNPHARMA, EQ,2025-02-05
TATAMOTORS, EQ,2025-02-05
TATASTEEL, EQ,2025-02-05
TCS, EQ,2025-02-05
TECHM, EQ,2025-02-05
TITAN, EQ,2025-02-05
ULTRACEMCO, EQ,2025-02-05
WIPRO, EQ,2025-02-05
