SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2021-11-01
AXISBANK, EQ,2021-11-01
BAJFINANCE, EQ,2021-11-01
BHARTIARTL, EQ,2021-11-01
BPCL, EQ,2021-11-01
CIPLA, EQ,2021-11-01
COALINDIA, EQ,2021-11-01
DIVISLAB, EQ,2021-11-01
DRREDDY, EQ,2021-11-01
HCLTECH, EQ,2021-11-01
HDFCBANK, EQ,2021-11-01
HINDALCO, EQ,2021-11-01
ICICIBANK, EQ,2021-11-01
INFY, EQ,2021-11-01
JSWSTEEL, EQ,2021-11-01
KOTAKBANK, EQ,2021-11-01
LT, EQ,2021-11-01
MARUTI, EQ,2021-11-01
NTPC, EQ,2021-11-01
POWERGRID, EQ,2021-11-01
RELIANCE, EQ,2021-11-01
SBIN, EQ,2021-11-01
SUNPHARMA, EQ,2021-11-01
TATAMOTORS, EQ,2021-11-01
TATASTEEL, EQ,2021-11-01
TCS, EQ,2021-11-01
TECHM, EQ,2021-11-01
TITAN, EQ,2021-11-01
ULTRACEMCO, EQ,2021-11-01
WIPRO, EQ,2021-11-01
