SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2020-10-30
AXISBANK, EQ,2020-10-30
BAJFINANCE, EQ,2020-10-30
BHARTIARTL, EQ,2020-10-30
BPCL, EQ,2020-10-30
CIPLA, EQ,2020-10-30
COALINDIA, EQ,2020-10-30
DIVISLAB, EQ,2020-10-30
DRREDDY, EQ,2020-10-30
HCLTECH, EQ,2020-10-30
HDFCBANK, EQ,2020-10-30
HINDALCO, EQ,2020-10-30
ICICIBANK, EQ,2020-10-30
INFY, EQ,2020-10-30
JSWSTEEL, EQ,2020-10-30
KOTAKBANK, EQ,2020-10-30
LT, EQ,2020-10-30
MARUTI, EQ,2020-10-30
NTPC, EQ,2020-10-30
POWERGRID, EQ,2020-10-30
RELIANCE, EQ,2020-10-30
SBIN, EQ,2020-10-30
SUNPHARMA, EQ,2020-10-30
TATAMOTORS, EQ,2020-10-30
TATASTEEL, EQ,2020-10-30
TCS, EQ,2020-10-30
TECHM, EQ,2020-10-30
TITAN, EQ,2020-10-30
ULTRACEMCO, EQ,2020-10-30
WIPRO, EQ,2020-10-30
