SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2025-07-24
AXISBANK, EQ,2025-07-24
BAJFINANCE, EQ,2025-07-24
BHARTIARTL, EQ,2025-07-24
BPCL, EQ,2025-07-24
CIPLA, EQ,2025-07-24
COALINDIA, EQ,2025-07-24
DIVISLAB, EQ,2025-07-24
DRREDDY, EQ,2025-07-24
HCLTECH, EQ,2025-07-24
HDFCBANK, EQ,2025-07-24
HINDALCO, EQ,2025-07-24
ICICIBANK, EQ,2025-07-24
INFY, EQ,2025-07-24
JSWSTEEL, EQ,2025-07-24
KOTAKBANK, EQ,2025-07-24
LT, EQ,2025-07-24
MARUTI, EQ,2025-07-24
NTPC, EQ,2025-07-24
POWERGRID, EQ,2025-07-24
RELIANCE, EQ,2025-07-24
SBIN, EQ,2025-07-24
SUNPHARMA, EQ,2025-07-24
TATAMOTORS, EQ,2025-07-24
TATASTEEL, EQ,2025-07-24
TCS, EQ,2025-07-24
TECHM, EQ,2025-07-24
TITAN, EQ,2025-07-24
ULTRACEMCO, EQ,2025-07-24
WIPRO, EQ,2025-07-24
