SYMBOL,SERIES,DATE
ASIANPAINT, EQ,2020-05-27
AXISBANK, EQ,2020-05-27
BAJFINANCE, EQ,2020-05-27
BHARTIARTL, EQ,2020-05-27
BPCL, EQ,2020-05-27
CIPLA, EQ,2020-05-27
COALINDIA, EQ,2020-05-27
DIVISLAB, EQ,2020-05-27
DRREDDY, EQ,2020-05-27
HCLTECH, EQ,2020-05-27
HDFCBANK, EQ,2020-05-27
HINDALCO, EQ,2020-05-27
ICICIBANK, EQ,2020-05-27
INFY, EQ,2020-05-27
JSWSTEEL, EQ,2020-05-27
KOTAKBANK, EQ,2020-05-27
LT, EQ,2020-05-27
MARUTI, EQ,2020-05-27
NTPC, EQ,2020-05-27
POWERGRID, EQ,2020-05-27
RELIANCE, EQ,2020-05-27
SBIN, EQ,2020-05-27
SUNPHARMA, EQ,2020-05-27
TATAMOTORS, EQ,2020-05-27
TATASTEEL, EQ,2020-05-27
TCS, EQ,2020-05-27
TECHM, EQ,2020-05-27
TITAN, EQ,2020-05-27
ULTRACEMCO, EQ,2020-05-27
WIPRO, EQ,2020-05-27
